sec	ECG
0.624	-0.026001
0.626	-0.026062
0.628	-0.026062
0.63	-0.026062
0.632	-0.026062
0.634	-0.0258179
0.636	-0.0253296
0.638	-0.0248413
0.64	-0.024353
0.642	-0.0239258
0.644	-0.0241699
0.646	-0.0252075
0.648	-0.0264282
0.65	-0.0272827
0.652	-0.0271606
0.654	-0.0262451
0.656	-0.0253906
0.658	-0.0250244
0.66	-0.0255737
0.662	-0.0263062
0.664	-0.0270386
0.666	-0.02771
0.668	-0.0279541
0.67	-0.0279541
0.672	-0.0279541
0.674	-0.0279541
0.676	-0.0279541
0.678	-0.0279541
0.68	-0.0280151
0.682	-0.0286865
0.684	-0.0294189
0.686	-0.0299683
0.688	-0.0300903
0.69	-0.0296021
0.692	-0.0288696
0.694	-0.0281372
0.696	-0.0274048
0.698	-0.0269775
0.7	-0.0270996
0.702	-0.0275269
0.704	-0.0280151
0.706	-0.0285034
0.708	-0.0289307
0.71	-0.0285645
0.712	-0.0274658
0.714	-0.0256348
0.716	-0.0224609
0.718	-0.0181885
0.72	-0.0133057
0.722	-0.00842285
0.724	-0.00335693
0.726	0.00195313
0.728	0.00646973
0.73	0.00964355
0.732	0.0108643
0.734	0.0102539
0.736	0.0078125
0.738	0.00408936
0.74	0.000976563
0.742	0.000305176
0.744	0.00408936
0.746	0.0125122
0.748	0.0238647
0.75	0.0359497
0.752	0.0471191
0.754	0.055603
0.756	0.0595093
0.758	0.0578003
0.76	0.0499878
0.762	0.0371094
0.764	0.0211182
0.766	0.00469971
0.768	-0.0100098
0.77	-0.0212402
0.772	-0.0285645
0.774	-0.0327759
0.776	-0.0351563
0.778	-0.0368652
0.78	-0.0384521
0.782	-0.0395508
0.784	-0.0396118
0.786	-0.0387573
0.788	-0.0371094
0.79	-0.0354004
0.792	-0.0338135
0.794	-0.0319824
0.796	-0.0306396
0.798	-0.0302124
0.8	-0.0303345
0.802	-0.0309448
0.804	-0.0322876
0.806	-0.0341797
0.808	-0.0362549
0.81	-0.0373535
0.812	-0.0378418
0.814	-0.0376587
0.816	-0.0366211
0.818	-0.0354004
0.82	-0.0341797
0.822	-0.032959
0.824	-0.0317383
0.826	-0.0305786
0.828	-0.0298462
0.83	-0.0290527
0.832	-0.0286255
0.834	-0.0285645
0.836	-0.0289307
0.838	-0.0294189
0.84	-0.0299683
0.842	-0.0308228
0.844	-0.0317993
0.846	-0.0327759
0.848	-0.0335083
0.85	-0.0336304
0.852	-0.0328979
0.854	-0.0317993
0.856	-0.0303345
0.858	-0.0288086
0.86	-0.0271606
0.862	-0.0262451
0.864	-0.0255127
0.866	-0.0247803
0.868	-0.0241089
0.87	-0.024231
0.872	-0.026123
0.874	-0.0308838
0.876	-0.0391235
0.878	-0.0500488
0.88	-0.0631714
0.882	-0.0768433
0.884	-0.0881958
0.886	-0.0941162
0.888	-0.0935059
0.89	-0.0859985
0.892	-0.071106
0.894	-0.0479126
0.896	-0.0170288
0.898	0.0197144
0.9	0.0610962
0.902	0.104858
0.904	0.149902
0.906	0.200623
0.908	0.263977
0.91	0.345276
0.912	0.444336
0.914	0.54834
0.916	0.633728
0.918	0.677368
0.92	0.66687
0.922	0.6026
0.924	0.493835
0.926	0.355042
0.928	0.204468
0.93	0.0605469
0.932	-0.0598755
0.934	-0.143555
0.936	-0.184021
0.938	-0.184021
0.94	-0.154358
0.942	-0.110596
0.944	-0.0673218
0.946	-0.0344849
0.948	-0.0159912
0.95	-0.0098877
0.952	-0.0106201
0.954	-0.0132446
0.956	-0.0158081
0.958	-0.0184937
0.96	-0.0230713
0.962	-0.0307007
0.964	-0.0400391
0.966	-0.0485229
0.968	-0.0532227
0.97	-0.0532837
0.972	-0.0498047
0.974	-0.0449829
0.976	-0.0413818
0.978	-0.0407715
0.98	-0.0429077
0.982	-0.0463257
0.984	-0.0490723
0.986	-0.0501099
0.988	-0.0496826
0.99	-0.0480957
0.992	-0.0457153
0.994	-0.043457
0.996	-0.0421753
0.998	-0.0422974
1	-0.0432129
1.002	-0.0441895
1.004	-0.0445557
1.006	-0.0439453
1.008	-0.0429688
